"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"867","RT @DitjenPajakRI: Turunan UU HPP Klaster PPN Terbit, Simak Ketentuannya

Selengkapnya: https://t.co/PwTL29S1Cs",FALSE,0,NA,2022-12-08 08:41:33,FALSE,NA,"1600772559976693760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","innuuuuuuu",58,TRUE,FALSE,NA,NA
"868","#KawanPajak sudah pernah bertemu dengan penyuluh pajak?

Penyuluh pajak adalah pegawai pajak yang memiliki tugas kh… https://t.co/f1D1lhevKh",FALSE,0,NA,2022-12-08 08:41:03,TRUE,NA,"1600772433190866944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pajaktbtinggi",0,FALSE,FALSE,NA,NA
"869","RT @SurayaSJM: Jabatan air kota Belud at its worst, dari pagi sampai sekarang paip kering, dengar2 ada paip besar pecah/rosak...itulah lain…",FALSE,0,NA,2022-12-08 08:40:32,FALSE,NA,"1600772304132530177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KotaBeludInfo",1,TRUE,FALSE,NA,NA
"870","Syarat &amp; Ketentuan Program Hadiah Langsung:
Pajak hadiah ditanggung BRI
Gimmick Hadiah Program berupa barang hadiah… https://t.co/rj5HSc27EK",FALSE,0,"PBumn001",2022-12-08 08:40:30,TRUE,"1600772289192394752","1600772294284308480","1587772951612784641","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PBumn001",0,FALSE,FALSE,NA,NA
"871","@CNNIndonesia Makanya Pak. Org Kalo Mau Bayar Pajak 5 Tahunan Jangan Pula Dibikin Ribet. Ini Punya Motor, Ganti Nam… https://t.co/iCoEf3BseS",FALSE,4,"CNNIndonesia",2022-12-08 08:40:19,TRUE,"1600646221810798592","1600772246338879488","17128975","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","byfarizii",0,FALSE,FALSE,NA,NA
"872","@midnightsekai Hai, Kak. 
Aktivasi EFIN dapat diajukan melalui email.
Jika Kakak belum aktivasi EFIN, silakan menya… https://t.co/VoLtzWe6WB",FALSE,0,"midnightsekai",2022-12-08 08:40:02,TRUE,"1600649962962178049","1600772176738537473","1294437500891443202","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
"873","https://t.co/HLbt1VCjoq, 8 Desember 2022
Kepala Seksi Tindak Pidana Khusus Kejaksaan Negeri Indramayu Helmy Hidayat… https://t.co/u9air0uRUI",FALSE,0,NA,2022-12-08 08:39:44,TRUE,NA,"1600772099592921089",NA,"<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>","KejariIndramayu",0,FALSE,FALSE,NA,NA
"874","Personil Samapta Polres Padangsidimpuan melaksanakan patroli dialogis di Pasar Pajak Batu guna memberikan rasa aman… https://t.co/EuxXpNpdeg",FALSE,0,NA,2022-12-08 08:39:24,TRUE,NA,"1600772019100217344",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sabhararespsp",0,FALSE,FALSE,NA,NA
"875","RT @yeyowhyu: LIST MERCH KWANGYA

(mostly nct)
(harga sudah termasuk pajak) https://t.co/t8J6dxuuIW",FALSE,0,NA,2022-12-08 08:39:23,FALSE,NA,"1600772014272577536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lEebrawgh",2904,TRUE,FALSE,NA,NA
"876","@syariefnawawi Hai, Kak. 
Layanan #LupaEFIN Kring Pajak hanya dapat melayani permohonan lupa EFIN yang sebelumnya s… https://t.co/u1OJ6jFyJv",FALSE,0,"syariefnawawi",2022-12-08 08:39:23,TRUE,"1600647192733024258","1600772012271489025","939729426387841024","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kring_pajak",0,FALSE,FALSE,NA,NA
